type;variables;modalites;n;pourcentage;dim1_coord;dim1_contrib;dim2_coord;dim2_contrib;dim3_coord;dim3_contrib;dim4_coord;dim4_contrib
Variable active;age_cl;18-29 ans;2607;24,4;1,02;13,14;-0,46;3,15;-0,65;7,34;0,10;0,17
Variable active;age_cl;30-39 ans;2728;25,5;-0,43;2,40;-0,39;2,34;-0,16;0,46;0,31;1,87
Variable active;age_cl;40-49 ans;2413;22,5;-0,45;2,39;0,36;1,83;0,49;3,84;0,73;9,10
Variable active;age_cl;50 ans et plus;2955;27,6;-0,14;0,27;0,46;3,66;0,32;2,03;-0,97;19,64
Variable active;astopsante;AStopSantéNON;9724;90,9;0,03;0,05;-0,11;0,63;0,00;0,00;0,02;0,02
Variable active;astopsante;AStopSantéOUI;979;9,1;-0,31;0,47;1,05;6,23;0,04;0,01;-0,16;0,17
Variable active;avecenf01;EnfantNON;5797;54,2;0,42;5,38;-0,28;2,92;-0,18;1,37;-0,42;7,67
Variable active;avecenf01;EnfantOUI;4111;38,4;-0,60;7,71;0,41;4,19;0,26;1,97;0,60;11,00
Variable active;conjemploi;Cjt en emploi;3878;36,2;-0,72;10,49;-0,10;0,24;-0,17;0,83;0,41;4,87
Variable active;conjemploi;Cjt Sans emploi;1705;15,9;0,04;0,01;0,63;4,19;0,45;2,59;-0,43;2,45
Variable active;conjemploi;Sans conjoint;4382;40,9;0,62;8,88;-0,16;0,69;-0,03;0,02;-0,19;1,19
Variable active;cp_jmstrav;DejaTrav;9757;91,2;-0,19;1,64;0,04;0,11;-0,03;0,04;-0,10;0,75
Variable active;cp_jmstrav;JmsTrav;946;8,8;1,92;16,92;-0,45;1,11;0,27;0,45;1,08;7,73
Variable active;diplome3;Bac;2205;20,6;0,36;1,40;0,17;0,38;-0,61;5,69;0,25;0,97
Variable active;diplome3;Bac +2 ou +3;2336;21,8;-0,16;0,28;-0,08;0,09;-0,62;6,23;0,23;0,89
Variable active;diplome3;Bac +4 ou plus;2798;26,1;-0,39;2,14;-1,06;18,62;0,48;4,46;-0,07;0,11
Variable active;diplome3;BEP CAP;1857;17,4;0,06;0,03;0,95;9,92;0,08;0,09;-0,41;2,21
